European,2
French,2
International,2
nan,1
Japanese,2
Sushi,2
Asian,2
Grill,2
Vegetarian Friendly,2
Vegan Options,2
Gluten Free Options,2
nan,1
German,2
Central European,2
Vegetarian Friendly,2
nan,1
Italian,2
Pizza,2
Italian,1
nan,1
Italian,2
Pizza,2
Fast Food,2
nan,1
Italian,2
Pizza,2
Vegetarian Friendly,2
Italian,2
Pizza,2
Vegetarian Friendly,2
Gluten Free Options,2
Vegetarian Friendly,2
Gluten Free Options,2
Mediterranean,2
Spanish,2
Healthy,2
Cafe,1
Japanese,2
Asian,2
Thai,2
Vietnamese,2
Bar,2
Pub,2
German,1
Chinese,1
German,2
Vegetarian Friendly,2
nan,1
Bar,2
British,2
Pub,2
Asian,2
Thai,2
Vegetarian Friendly,2
Gluten Free Options,2
Vegan Options,2
Cafe,2
British,2
Polish,2
International,2
European,2
Fusion,2
nan,1
nan,1
nan,1
nan,1
nan,1
Dutch,2
European,2
nan,1
Vietnamese,1
Italian,2
Pizza,2
Italian,2
Mexican,2
Venezuelan,2
South American,2
Italian,1
Japanese,2
Sushi,2
Asian,2
French,1
nan,1
Bar,2
Cafe,2
Mediterranean,2
Pub,2
Asian,2
Thai,2
Vegetarian Friendly,2
Soups,2
Healthy,2
Vegetarian Friendly,2
Vegan Options,2
Gluten Free Options,2
Pub,1
Japanese,1
Pizza,1
Italian,1
Belgian,2
European,2
Vegetarian Friendly,2
Vegan Options,2
Gluten Free Options,2
Cafe,2
Mediterranean,2
Spanish,2
Vegetarian Friendly,2
French,2
European,2
Vegetarian Friendly,2
Chinese,2
Fast Food,2
nan,1
French,2
Vietnamese,2
Italian,2
Pizza,2
European,2
Vegetarian Friendly,2
Vegan Options,2
Gluten Free Options,2
Steakhouse,2
Latin,2
Barbecue,2
European,2
Argentinean,2
South American,2
Vegetarian Friendly,2
Cafe,1
Italian,1
nan,1
Japanese,2
Sushi,2
Vegetarian Friendly,2
nan,1
nan,1
nan,1
Spanish,1
Healthy,2
Mediterranean,2
Vegetarian Friendly,2
Irish,2
Seafood,2
European,2
Soups,2
Vegetarian Friendly,2
Gluten Free Options,2
nan,1
Japanese,2
Asian,2
Fusion,2
Vegetarian Friendly,2
Gluten Free Options,2
Seafood,2
Mediterranean,2
Spanish,2
nan,1
Chinese,2
Asian,2
Italian,2
Pizza,2
Swiss,2
European,2
French,2
Irish,2
European,2
nan,1
Bar,2
International,2
nan,1
European,2
Portuguese,2
Mediterranean,2
Contemporary,2
Wine Bar,2
Vegetarian Friendly,2
Italian,2
European,2
Vegetarian Friendly,2
Gluten Free Options,2
Spanish,2
Cafe,2
Seafood,2
Mediterranean,2
European,2
Greek,2
Soups,2
Vegetarian Friendly,2
Vegan Options,2
Gluten Free Options,2
Mexican,2
Fast Food,2
South American,2
Central American,2
Vegetarian Friendly,2
Japanese,2
Sushi,2
Asian,2
Italian,2
Pizza,2
Mediterranean,2
Barbecue,2
Grill,2
Vegetarian Friendly,2
Sushi,1
Mediterranean,2
Grill,2
Italian,2
German,2
European,2
Vegetarian Friendly,2
Chinese,2
Japanese,2
Seafood,2
Sushi,2
Vegetarian Friendly,2
nan,1
Italian,1
Indian,2
Asian,2
Vegetarian Friendly,2
Vegan Options,2
Gluten Free Options,2
nan,1
nan,1
Middle Eastern,2
Turkish,2
Fast Food,2
Healthy,2
South American,2
Latin,2
Central American,2
Venezuelan,2
Pub,2
Bar,2
French,2
Seafood,2
European,2
nan,1
Healthy,2
Central European,2
Vegetarian Friendly,2
Italian,2
Pizza,2
Chinese,1
Italian,1
Mediterranean,2
Spanish,2
Vegetarian Friendly,2
French,2
European,2
Hungarian,2
French,2
European,2
European,2
Portuguese,2
European,2
French,2
Seafood,2
nan,1
nan,1
Italian,2
Mediterranean,2
German,1
Chinese,1
Italian,1
French,2
Swiss,2
European,2
Vegetarian Friendly,2
Gluten Free Options,2
Italian,2
Pizza,2
Pizza,2
Vegetarian Friendly,2
Vegan Options,2
nan,1
Indian,2
Middle Eastern,2
Pakistani,2
Italian,1
nan,1
nan,1
Italian,2
Pizza,2
Mediterranean,2
European,2
Vegetarian Friendly,2
nan,1
Italian,2
Mediterranean,2
European,2
Vegetarian Friendly,2
Italian,2
Pizza,2
Mediterranean,2
European,2
Vegetarian Friendly,2
Gluten Free Options,2
Peruvian,2
Asian,2
South American,2
Italian,2
Mediterranean,2
Vegetarian Friendly,2
Gluten Free Options,2
Italian,2
Pizza,2
Mediterranean,2
European,2
Delicatessen,2
Vegetarian Friendly,2
nan,1
Mediterranean,2
European,2
Spanish,2
nan,1
Cafe,1
Cafe,1
Cafe,2
British,2
Greek,1
Bar,2
Polish,2
European,2
Eastern European,2
Steakhouse,2
Pub,2
Vegetarian Friendly,2
Swedish,2
Scandinavian,2
Vegetarian Friendly,2
Gluten Free Options,2
Spanish,1
Italian,2
Pizza,2
Vegetarian Friendly,2
Asian,2
Tibetan,2
Nepali,2
European,2
Wine Bar,2
Eastern European,2
Central European,2
Hungarian,2
Contemporary,2
Vegetarian Friendly,2
Gluten Free Options,2
Italian,2
Mediterranean,2
Italian,1
nan,1
Italian,2
Seafood,2
nan,1
Bar,2
Mediterranean,2
Spanish,2
Japanese,2
Sushi,2
Asian,2
Vegetarian Friendly,2
Spanish,1
European,2
Vegetarian Friendly,2
Cafe,2
Bar,2
European,2
Pub,2
Vegetarian Friendly,2
Gluten Free Options,2
Fast Food,2
Barbecue,2
Vietnamese,2
Healthy,2
Vegetarian Friendly,2
British,2
Bar,2
European,2
nan,1
Chinese,2
Asian,2
Vegetarian Friendly,2
nan,1
Asian,2
Korean,2
nan,1
Steakhouse,2
Southwestern,2
Barbecue,2
Grill,2
Wine Bar,2
Cafe,2
Contemporary,2
French,2
German,2
Vegetarian Friendly,2
nan,1
French,2
Cafe,2
International,2
Indian,2
Vegetarian Friendly,2
Vegan Options,2
European,2
Healthy,2
Vegetarian Friendly,2
Vegan Options,2
Gluten Free Options,2
nan,1
European,2
Czech,2
Central European,2
American,2
Contemporary,2
Vegetarian Friendly,2
nan,1
Italian,2
European,2
nan,1
Seafood,2
Mediterranean,2
European,2
Slovenian,2
Vegetarian Friendly,2
French,2
European,2
Italian,2
Mediterranean,2
Gluten Free Options,2
American,2
Bar,2
Pub,2
Vegetarian Friendly,2
Vegan Options,2
Italian,1
Mediterranean,1
Cafe,2
Contemporary,2
Pizza,2
Italian,2
Vegetarian Friendly,2
Vegan Options,2
Turkish,1
Indian,2
Middle Eastern,2
Pakistani,2
nan,1
nan,1
Seafood,1
Italian,1
nan,1
nan,1
nan,1
nan,1
Italian,2
European,2
Mediterranean,2
European,2
Portuguese,2
Italian,2
Pizza,2
Seafood,2
Mediterranean,2
Barbecue,2
Vegetarian Friendly,2
Vegan Options,2
Balti,2
Indian,2
Asian,2
Vegetarian Friendly,2
Vegan Options,2
Gluten Free Options,2
nan,1
European,2
Central European,2
Vegetarian Friendly,2
Vegan Options,2
Gluten Free Options,2
Japanese,2
Sushi,2
Asian,2
Pizza,2
Fast Food,2
Greek,2
Street Food,2
Italian,2
Mediterranean,2
European,2
Vegetarian Friendly,2
Vegan Options,2
Gluten Free Options,2
Peruvian,2
South American,2
Vegetarian Friendly,2
Italian,1
nan,1
Indian,2
Asian,2
Vegetarian Friendly,2
Gluten Free Options,2
Vegan Options,2
Belgian,2
European,2
International,2
Vegetarian Friendly,2
Spanish,1
Italian,2
Seafood,2
Mediterranean,2
European,2
Healthy,2
Asian,2
Vietnamese,2
Vegetarian Friendly,2
Vegan Options,2
American,2
Bar,2
European,2
Pub,2
International,2
Seafood,2
Mediterranean,2
European,2
Portuguese,2
Soups,2
Mediterranean,2
Spanish,2
Vegetarian Friendly,2
Vegan Options,2
nan,1
Pizza,1
Fast Food,2
European,2
Healthy,2
Hungarian,2
Vegetarian Friendly,2
Fast Food,2
Mexican,2
Italian,2
Pizza,2
Vegetarian Friendly,2
Gluten Free Options,2
Asian,2
Thai,2
Vegetarian Friendly,2
Indian,2
Asian,2
Balti,2
Eastern European,2
Vegetarian Friendly,2
Greek,1
nan,1
French,2
Healthy,2
Delicatessen,2
Street Food,2
Sushi,1
French,1
nan,1
nan,1
nan,1
Mediterranean,2
European,2
Contemporary,2
Fusion,2
Diner,2
Bar,1
nan,1
Italian,1
American,2
Fast Food,2
Diner,2
Vegetarian Friendly,2
nan,1
Bar,2
Pub,2
International,1
Indian,2
Vegetarian Friendly,2
Italian,2
Seafood,2
Mediterranean,2
Soups,2
Vegetarian Friendly,2
Gluten Free Options,2
Argentinean,2
