ID_TA,newIsPriceLevMax
d1912643,0
d7992032,0
d8632781,1
d1358776,0
d6864963,0
d12503536,0
d5808504,0
d3199765,0
d12845029,0
d8020681,0
d10696479,0
d12402429,0
d2259559,0
d12107166,0
d10859423,0
d6633059,0
d10266473,0
d8659568,0
d3702312,0
d8155327,0
d10524693,0
d10058810,0
d2508041,0
d1018940,0
d7617571,0
d12018194,0
d10060659,0
d11616946,0
d2040769,0
d5776152,0
d11841754,0
d3591150,0
d8791087,0
d3543959,0
d5263694,0
d10302313,0
d3267260,0
d13322935,0
d3543081,0
d12447161,0
d12354572,0
d953033,0
d6031001,0
d5799345,0
d5981466,0
d7276832,0
d12550964,0
d4150215,0
d7952588,0
d719083,1
d5408595,0
d12391114,0
d7332770,0
d1785149,0
d4588301,0
d7123553,0
d4295258,0
d697485,0
d4353632,0
d1035491,0
d12676684,0
d11770289,0
d5587837,0
d813990,0
d2259146,0
d10073699,0
d1099373,1
d797017,0
d11687952,0
d1019904,0
d4043773,0
d4226084,0
d13172414,0
d12911907,0
d3322305,0
d7805333,0
d6432242,0
d2478316,0
d4600249,0
d696117,0
d2176100,0
d3345223,0
d7361724,0
d5532357,0
d1359957,0
d2589168,0
d10027275,0
d1125197,0
d9459585,0
d5599563,0
d7623654,0
d2632522,0
d7332678,0
d10485816,0
d11688138,0
d5943832,0
d4768085,0
d2255569,0
d4597916,0
d7916036,0
d12350248,0
d1109944,0
d13197631,0
d918784,0
d8772965,0
d1324029,0
d6632829,0
d11667577,0
d12243659,0
d2445499,0
d2577881,0
d11951657,0
d751711,0
d3902868,0
d5487718,0
d7995801,0
d1331796,0
d8536895,0
d1328183,0
d10392913,0
d1097475,0
d7967318,0
d797737,1
d2226584,0
d13174390,1
d4052905,0
d5504724,0
d12681857,0
d7241440,0
d13094972,0
d5442784,0
d4942642,0
d2524119,0
d4770241,0
d8797372,0
d1496204,0
d11754798,0
d4085056,0
d12867794,0
d779921,0
d8118086,0
d2321047,0
d7994738,0
d10226097,1
d3612769,0
d697526,0
d10619071,0
d4600226,0
d10064175,0
d4476199,0
d9714837,0
d6403079,0
d5867903,0
d680500,0
d12111665,0
d5058767,0
d12949592,0
d13087286,0
d3671977,0
d1341738,0
d12556149,0
d11999809,0
d12710453,0
d4093614,0
d11995686,0
d694885,0
d2470800,0
d13284434,0
d13206789,0
d10336129,0
d4068550,0
d807906,0
d11998026,0
d11721387,0
d10498197,0
d12441400,0
d2722599,0
d7949523,0
d8734791,0
d2328380,0
d12068247,0
d10520643,0
d8401717,0
d2424319,0
d10677156,0
d9562461,0
d5979704,0
d13139218,0
d7214349,0
d3193915,0
d3691545,0
d795702,0
d2697097,0
d8124300,0
d3316640,0
d13001826,0
d793183,1
d12181566,0
d10242690,0
d7243246,0
d733450,0
d4014123,0
d10735345,0
d13198202,0
d5532050,0
d2085183,0
d6946964,0
d8661176,0
d8293300,0
d3873744,0
d12667708,0
d5322631,0
d734267,0
d719805,0
d4185485,0
d3849968,0
d11903856,0
d8660001,0
d4844610,0
d6519298,0
d11909263,0
d12999507,0
d12336001,0
d12254437,1
d2188472,0
d1347837,0
d8261215,0
d9741389,0
d8319709,0
d12572658,0
d12488103,0
d8857488,0
d4023512,0
d5264177,0
d1096951,0
d4946996,0
d1388962,0
d696038,1
d10070252,0
d10072291,0
d4814839,0
d11914515,0
d12598141,0
d1877226,1
d6703191,0
d5822584,0
d3912269,0
d3393987,0
d8729508,0
d1074698,0
d1953294,0
d10385156,0
d2011853,0
d3181518,0
d4961398,0
d1324782,0
d4506544,0
d5949148,0
d6603135,0
d715001,0
d4093995,0
d7359557,0
d5796187,0
d8635738,0
d3191302,0
d7621848,0
d2524764,0
d13064730,0
d719718,0
d5795989,0
d3192609,0
d5976718,1
d804943,0
d941095,0
d4436498,0
d8339930,0
d12875225,0
d6278406,0
d10039662,0
d811284,0
d5414878,0
d1035596,0
d953657,0
d12512228,0
d6206971,0
d3729391,0
d3970522,0
d10230660,0
d9984284,0
d785995,0
d4182633,0
d3405673,0
d10383695,0
d1489269,0
d1340332,0
d7146900,0
d2098938,0
d10533412,0
d10354665,0
d803842,0
d2477240,0
d1080720,1
d4293803,0
d780673,0
d4727188,0
d1103441,0
d1901926,0
d718909,0
d12423010,0
d13162505,0
d5872756,0
d3537392,0
d8599829,0
d12310002,0
d4585716,0
d10760580,0
d11888740,0
d8841562,0
d1039687,0
d2096546,0
d7734583,0
d6883153,0
d6672773,0
d6949479,0
d4211999,0
d4556019,0
d12049003,0
d12538734,0
d4930739,0
d10678700,0
d4697825,0
d944247,0
d695083,0
d4098079,0
d10395526,0
d789885,0
d4770088,0
d10331391,0
d1774775,0
d2323613,0
d12995806,0
d4748988,0
d3735127,0
d4591733,0
d813285,0
d6868018,0
d3242259,0
d6698437,0
d8736586,0
d1507237,0
d12384552,0
d3179035,0
d1545969,0
d1385082,0
d12081682,0
d779071,0
d5536153,0
d8415205,0
d1965515,0
d1231908,1
d5122063,0
d2320137,0
d1906552,0
d2484423,0
d7995957,0
d781928,0
d2204143,0
d10430050,0
d4268309,0
d5869951,0
d7730921,0
d1488977,0
d10724032,0
d3773630,0
d4769401,0
d12997561,0
d12170386,1
d798936,0
d3385038,0
d8602690,0
d8092415,0
d12359266,0
d3266560,0
d1874776,0
d12114896,0
d4133931,0
d5965027,0
d11923374,0
d1992130,0
d5865146,0
d1417391,0
d775579,0
d7336387,0
d7707930,0
d1820729,0
d3319308,0
d997803,0
d2625256,0
d959162,0
d12089348,0
d8591395,0
d9746677,0
d8774485,0
d12548187,0
d743790,0
d11749991,0
d782237,0
d2494164,0
d12113037,0
d8362340,0
d2046169,0
d8125299,0
d6530816,0
d12321528,0
d4956063,0
d3547447,0
d4054080,0
d8339764,0
d5442851,0
d9456227,0
d780485,0
d6618276,0
d784491,0
d7097810,0
d7996902,0
d3567816,0
d1119896,0
d1354477,0
d3218566,0
d1519258,0
d10292470,0
d8381040,0
d8121703,0
d10840545,0
d3535931,0
d11958460,0
d719923,1
d2179945,0
d8073030,0
d8580982,0
d11666969,0
d7990468,0
d5936523,0
d12098434,0
d10814311,0
d1648922,0
d10079338,0
d733353,0
d720652,0
d1097059,0
d12842987,0
d1771808,0
d3327962,1
d1097463,0
d2490014,0
d5522488,0
d12945640,0
d10445344,0
d7092943,0
d13001385,0
d10288341,1
d10903502,0
d2208132,0
d779012,0
d6780578,0
d1327268,0
d4593810,0
d12428801,0
d13226281,0
d2100338,0
d1360884,0
d4324827,0
d4156673,0
d12229735,0
d12481552,0
d5787627,0
d4781734,0
d7992689,0
d4769383,0
d4185793,0
d2361013,0
d1043805,0
d2517446,0
d3191953,0
d3478764,0
d10302492,0
d12630204,0
d1093837,0
d13109544,0
d2171461,0
d4129187,0
d783430,0
d2407506,0
d7908111,1
d8759915,0
d1208595,0
d904707,0
d7246537,0
d1884058,0
d3709334,0
d986276,1
d8677313,0
d2225278,0
d5614471,0
d3454924,0
d6697515,0
d787024,0
d9863670,0
d10333393,0
d12175079,0
d10106305,0
d3661709,0
d4227711,0
d7792070,0
d4600862,0
d5264429,1
d12410110,0
d4173077,0
d12242986,0
d2614607,0
d4768479,0
d5928128,0
d697036,0
d2021717,0
d10109314,0
d1038938,0
d4953429,0
d697571,0
d8524256,0
d7724601,0
d1093016,0
d8774881,0
d1082420,0
d12875617,0
d2390091,0
d1926325,0
d990817,0
d7097337,0
d5795578,0
d11842481,0
d12172734,0
d11906544,0
d2216928,0
d11543758,0
d3400459,0
d12557535,0
d783281,0
d4323006,0
d10026779,0
d6513977,0
d1224146,0
d6494498,0
d12563331,0
d8401819,0
d1029286,1
d718744,0
d1081584,0
d3735823,0
d4560491,0
d4799949,0
d11445075,0
d1336101,0
d12322989,0
d13150829,0
d8008981,0
d12921595,0
d1904460,0
d779167,0
d4909559,0
d2437956,0
d1081959,0
d4410180,0
d1100325,0
d8090662,0
d3431140,0
d4818393,0
d697252,0
d1873223,0
d12947166,0
d4083721,0
d10389470,0
d2486144,0
d2267111,0
d10734451,0
d13171584,0
d3134650,0
d10737035,0
d3613533,0
d2648160,0
d10122352,0
d3785147,0
d7687905,0
d718937,0
d3192062,0
d12320220,0
d4768291,0
d5425608,0
d8517072,0
d5509232,0
d2084827,0
d10587448,0
d8811850,0
d12873448,0
d6727449,0
d10179197,0
d7311463,0
d12611007,0
d7047167,1
d2091250,0
d1037163,0
d1182786,0
d5220257,0
d11962971,0
d7690496,0
d12906918,0
d9765679,0
d4924798,0
d5865687,0
d7905491,0
d719237,0
d5942142,0
d1137212,0
d1020592,1
d9781450,0
d4872826,0
d13203526,0
d5122174,0
d813958,0
d7247750,0
d7312499,0
d7644937,0
d10028124,0
d2719603,0
d1013794,0
d10784649,0
d2620190,0
d10040334,0
d8419110,0
d12685574,0
d9603011,0
d1852620,0
d11679759,0
d12112547,0
d3805143,0
d3610708,0
d6882587,0
d5962368,0
d4424572,0
d3898172,0
d9739262,0
d2637154,0
d3622799,0
d12947099,0
d1971797,0
d6981542,0
d10701333,0
d7624770,0
d2271370,0
d10047471,0
d10266436,0
d4770035,0
d2044612,0
d10271724,0
d10169867,0
d8284781,0
d1039067,0
d878520,0
d12902522,0
d12323685,0
d11861153,0
d7591680,0
d1070166,0
d2643319,0
d12417709,0
d813925,0
d12206760,0
d10769792,0
d731204,0
d10477806,0
d1016160,0
d8429273,0
d11958431,0
d11895495,0
d2465469,0
d951933,0
d2258959,0
d1043439,0
d7803810,0
d3308325,0
d1553821,0
d7804627,0
d1963456,0
d5440481,0
d4225439,0
d7933036,0
d10339269,0
d2701946,0
d8511258,0
d12598682,0
d8571233,0
d1018974,0
d10878563,1
d10250368,0
d11631425,0
d850178,0
d5818174,0
d3780762,0
d12936186,0
d9752550,0
d1186842,0
d4875639,0
d12996130,0
d952068,0
d1095455,0
d6813236,0
d4418101,0
d780204,0
d1136782,0
d7274833,0
d12500357,0
d991104,0
d4823847,0
d5077935,0
d802232,0
d8362416,0
d2712118,0
d10818786,0
d4769349,0
d8657804,0
d7124393,0
d12571297,0
d5080700,0
d1356624,0
d7596737,0
d9832010,0
d3253550,0
d11029213,0
d1226617,0
d6453074,0
d8602510,0
d11947459,0
d7920021,0
d10398981,0
d3685490,0
d8804386,0
d6663062,0
d3181841,0
d3538769,0
d7283420,0
d8627732,0
d12900896,0
d13087285,1
d12536774,0
d10744198,0
d12099376,0
d10478105,0
d8277124,0
d9729580,0
d3675106,0
d1887046,0
d7211474,0
d3529487,0
d5812483,0
d997616,0
d9710368,0
d11951673,0
d2618233,1
d12404527,0
d11978912,0
d11931682,0
d8810157,0
d1153049,0
d4580777,0
